DateTime,Junction,Vehicles,ID,timestamp,latitude,longitude,temperature,weather_description,wind_speed,humidity,precipitation,visibility,pressure
01-11-2015 00:00,1,15,20151101001,01-01-2023 00:00,40.7128,-74.006,-5,cloudy,9.312205648,39,4.241389816,12348,1035
01-11-2015 01:00,1,13,20151101011,01-01-2023 01:00,40.7128,-74.006,9,partly cloudy,7.894646184,78,2.408451483,6356,1007
01-11-2015 02:00,1,10,20151101021,01-01-2023 02:00,40.7128,-74.006,22,snow,0.410783257,76,4.121092111,13480,1000
01-11-2015 03:00,1,7,20151101031,01-01-2023 03:00,40.7128,-74.006,28,partly cloudy,3.957073837,71,4.915204459,8358,998
01-11-2015 04:00,1,9,20151101041,01-01-2023 04:00,40.7128,-74.006,2,snow,8.284829613,36,3.615275462,8857,989
01-11-2015 05:00,1,6,20151101051,01-01-2023 05:00,40.7128,-74.006,-4,clear sky,4.867589378,62,3.490406101,7903,997
01-11-2015 06:00,1,9,20151101061,01-01-2023 06:00,40.7128,-74.006,18,cloudy,0.849449506,49,0.841409481,14284,1026
01-11-2015 07:00,1,8,20151101071,01-01-2023 07:00,40.7128,-74.006,20,partly cloudy,8.351218614,58,4.640769489,8813,1036
01-11-2015 08:00,1,11,20151101081,01-01-2023 08:00,40.7128,-74.006,25,partly cloudy,7.672022343,65,0.292596772,14774,983
01-11-2015 09:00,1,12,20151101091,01-01-2023 09:00,40.7128,-74.006,22,cloudy,7.396449002,64,4.082280822,5300,1035
01-11-2015 10:00,1,15,20151101101,01-01-2023 10:00,40.7128,-74.006,10,rain,8.347485811,55,0.515798589,11882,983
01-11-2015 11:00,1,17,20151101111,01-01-2023 11:00,40.7128,-74.006,7,cloudy,8.425353351,75,4.546039616,9535,1009
01-11-2015 12:00,1,16,20151101121,01-01-2023 12:00,40.7128,-74.006,4,clear sky,4.56367576,76,2.912926868,7148,1048
01-11-2015 13:00,1,15,20151101131,01-01-2023 13:00,40.7128,-74.006,0,thunderstorms,8.699839822,35,1.458409772,10132,1031
01-11-2015 14:00,1,16,20151101141,01-01-2023 14:00,40.7128,-74.006,5,clear sky,0.265633201,77,0.842151385,13470,1047
01-11-2015 15:00,1,12,20151101151,01-01-2023 15:00,40.7128,-74.006,12,clear sky,3.413437717,73,3.317457838,5412,989
01-11-2015 16:00,1,12,20151101161,01-01-2023 16:00,40.7128,-74.006,26,rain,3.19491065,76,0.086263112,11687,1044
01-11-2015 17:00,1,16,20151101171,01-01-2023 17:00,40.7128,-74.006,6,snow,5.450425864,35,4.413690506,6690,1001
01-11-2015 18:00,1,17,20151101181,01-01-2023 18:00,40.7128,-74.006,-3,clear sky,7.345526067,54,4.504036275,10626,997
01-11-2015 19:00,1,20,20151101191,01-01-2023 19:00,40.7128,-74.006,2,snow,6.907147952,59,3.563750361,8644,985
01-11-2015 20:00,1,17,20151101201,01-01-2023 20:00,40.7128,-74.006,-8,thunderstorms,9.07738029,64,4.128540254,9322,1000
01-11-2015 21:00,1,19,20151101211,01-01-2023 21:00,40.7128,-74.006,34,cloudy,6.243136302,74,0.768392428,7806,1011
01-11-2015 22:00,1,20,20151101221,01-01-2023 22:00,40.7128,-74.006,34,cloudy,2.979912537,76,0.481481067,5222,1001
01-11-2015 23:00,1,15,20151101231,01-01-2023 23:00,40.7128,-74.006,25,snow,3.503526056,33,1.053604825,11681,980
02-11-2015 00:00,1,14,20151102001,02-01-2023 00:00,40.7128,-74.006,19,partly cloudy,5.567366173,79,0.499150122,11933,1020
02-11-2015 01:00,1,12,20151102011,02-01-2023 01:00,40.7128,-74.006,24,thunderstorms,3.744173838,73,3.857082348,11788,1035
02-11-2015 02:00,1,14,20151102021,02-01-2023 02:00,40.7128,-74.006,31,cloudy,8.730394858,63,0.493625523,10760,1040
02-11-2015 03:00,1,12,20151102031,02-01-2023 03:00,40.7128,-74.006,5,rain,3.919684377,42,1.457876215,5495,1018
